"ID";"locationData_HGC";"locationData_DEWAC"
14;"{""numFound"": 0, ""articleId"": 14, ""locations"": []}";"{""numFound"": 0, ""articleId"": 14, ""locations"": []}"
15;"{""numFound"": 0, ""articleId"": 15, ""locations"": []}";"{""numFound"": 0, ""articleId"": 15, ""locations"": []}"
16;"{""numFound"": 0, ""articleId"": 16, ""locations"": []}";"{""numFound"": 0, ""articleId"": 16, ""locations"": []}"
17;"{""numFound"": 1, ""articleId"": 17, ""locations"": [{""lat"": ""52.52437"", ""lon"": ""13.41053"", ""name"": ""Berlin"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2950159, ""featureClass"": ""PPLC"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 17, ""locations"": [{""lat"": ""52.52437"", ""lon"": ""13.41053"", ""name"": ""Berlin"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2950159, ""featureClass"": ""PPLC"", ""municipality"": """"}]}"
20;"{""numFound"": 2, ""articleId"": 20, ""locations"": [{""lat"": ""49.38774"", ""lon"": ""12.13484"", ""name"": ""Schwarzenfeld"", ""score"": 4, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2834945, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""49.3236"", ""lon"": ""12.09935"", ""name"": ""Schwandorf"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 6558284, ""featureClass"": ""ADM4"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 20, ""locations"": [{""lat"": ""49.3236"", ""lon"": ""12.09935"", ""name"": ""Schwandorf"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 6558284, ""featureClass"": ""ADM4"", ""municipality"": """"}]}"
23;"{""numFound"": 1, ""articleId"": 23, ""locations"": [{""lat"": ""49.50126"", ""lon"": ""11.74598"", ""name"": ""Sulzbach-Rosenberg"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2824801, ""featureClass"": ""PPL"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 23, ""locations"": [{""lat"": ""49.50126"", ""lon"": ""11.74598"", ""name"": ""Sulzbach-Rosenberg"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2824801, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
26;"{""numFound"": 1, ""articleId"": 26, ""locations"": [{""lat"": ""49.71167"", ""lon"": ""12.08722"", ""name"": ""Landkreis Neustadt an der Waldnaab"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 3220856, ""featureClass"": ""ADM3"", ""municipality"": """"}]}";"{""numFound"": 2, ""articleId"": 26, ""locations"": [{""lat"": ""49.71167"", ""lon"": ""12.08722"", ""name"": ""Landkreis Neustadt an der Waldnaab"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 3220856, ""featureClass"": ""ADM3"", ""municipality"": """"}, {""lat"": ""19.06667"", ""lon"": ""105.51667"", ""name"": ""Yên Mã"", ""score"": 1, ""state"": """", ""county"": ""VN"", ""region"": """", ""locationId"": 1560172, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
29;"{""numFound"": 4, ""articleId"": 29, ""locations"": [{""lat"": ""39.76"", ""lon"": ""-98.5"", ""name"": ""United States"", ""score"": 1, ""state"": """", ""county"": ""US"", ""region"": """", ""locationId"": 6252001, ""featureClass"": ""PCLI"", ""municipality"": """"}, {""lat"": ""49.28028"", ""lon"": ""11.46278"", ""name"": ""Neumarkt in der Oberpfalz"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2864549, ""featureClass"": ""PPLA4"", ""municipality"": """"}, {""lat"": ""50.19265"", ""lon"": ""11.27599"", ""name"": ""Kueps Oberfranken"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2882366, ""featureClass"": ""PPL"", ""municipality"": """"}, {""lat"": ""49.71167"", ""lon"": ""12.08722"", ""name"": ""Landkreis Neustadt an der Waldnaab"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 3220856, ""featureClass"": ""ADM3"", ""municipality"": """"}]}";"{""numFound"": 3, ""articleId"": 29, ""locations"": [{""lat"": ""39.76"", ""lon"": ""-98.5"", ""name"": ""United States"", ""score"": 1, ""state"": """", ""county"": ""US"", ""region"": """", ""locationId"": 6252001, ""featureClass"": ""PCLI"", ""municipality"": """"}, {""lat"": ""49.28028"", ""lon"": ""11.46278"", ""name"": ""Neumarkt in der Oberpfalz"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2864549, ""featureClass"": ""PPLA4"", ""municipality"": """"}, {""lat"": ""50.19265"", ""lon"": ""11.27599"", ""name"": ""Kueps Oberfranken"", ""score"": 1, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2882366, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
32;"{""numFound"": 0, ""articleId"": 32, ""locations"": []}";"{""numFound"": 0, ""articleId"": 32, ""locations"": []}"
35;"{""numFound"": 1, ""articleId"": 35, ""locations"": [{""lat"": ""50.00167"", ""lon"": ""12.30434"", ""name"": ""Waldsassen"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2814815, ""featureClass"": ""PPL"", ""municipality"": """"}]}";"{""numFound"": 1, ""articleId"": 35, ""locations"": [{""lat"": ""50.00167"", ""lon"": ""12.30434"", ""name"": ""Waldsassen"", ""score"": 2, ""state"": """", ""county"": ""DE"", ""region"": """", ""locationId"": 2814815, ""featureClass"": ""PPL"", ""municipality"": """"}]}"
